PSA-Nr;Aufstellort;PLZ;Bezirk/Gebiet;Abschnitt von;Abschnitt bis;Stellplätze;Roter Punkt;Gebührenzeit;Gebühr je 20 Minuten;Höchstparkdauer;Tagesgebühr 4,00 €;GeoKoordinateNord;GeoKoordinateOst
37;Rolandstr. 95 Insel;50677;Südliche Neustadt II;Merowinger Str.;Maria-Hilf-Str.;42;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,919528;6,954716
38;Rolandstr. 80 Insel;50677;Südliche Neustadt II;Merowinger Str.;Maria-Hilf-Str.;51;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,919349;6,955553
39;Rolandstr. 57 Insel;50677;Südliche Neustadt II;Maria-Hilf-Str.;Zugweg;57;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,918842;6,957044
40;Brunostr. 17;50677;Südliche Neustadt II;Elsaßstr.;Sachsenring;13;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,921823;6,956164
41;Metzer Str. 5;;Südliche Neustadt II;Elsaßstr.;Karolingerring;21;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9217001;6,9553724
42;Siegfriedstr. 17 Platz;;Südliche Neustadt II;Kirchplatz;;39;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
43;Teutoburgerstr. 12 Insel;;Südliche Neustadt II;Bonner Str.;Alteburger Str.;92;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,937531;6,9602786
44;Teutoburgerstr. 27 Insel;;Südliche Neustadt II;Alteburger Str.;Mainzer Str.;65;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,937531;6,9602786
45;Mainzerstr. 1-3 Insel;;Südliche Neustadt II;Ubierring;Maternusstr.;35;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
46;Mainzerstr. 25 Insel;;Südliche Neustadt II;Maternusstr.;Teutoburger Str.;81;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
47;Mainzerstr. 47 Insel;;Südliche Neustadt II;Teutoburger Str.;Alteburger Str.;69;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
48;Mainzerstr. 69 Insel;;Südliche Neustadt II;Teutoburger Str.;Alteburger Str./Insel;69;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
49;Maternusstr. 8;;Südliche Neustadt II;Alteburger Str.;Mainzer Str.;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
50;Maternusstr. 31;;Südliche Neustadt II;Trajanstr.;Agrippinaufer;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
51;Claudiusstr. 1 LT 6 Park;;Südliche Neustadt II;Nordteil;;63;SÜD II;Mo-Sa 09:00 - 23:00;0,50 €;14;JA;50,937531;6,9602786
52;Claudiusstr. 1 FH;;Südliche Neustadt II;Südteil;;67;SÜD II;Mo-Sa 09:00 - 23:00;0,50 €;14;JA;50,937531;6,9602786
53;Merowingerstr. 69;;Südliche Neustadt II;Vondelstr.;Rolandstr.;16;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9200091;6,9547114
54;Merowingerstr. 37;;Südliche Neustadt II;Elsaßstr.;Vondelstr.;9;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9200091;6,9547114
55;Bonner Wall 6;;Südliche Neustadt II;Ohmstr.;Zugweg;14;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9200091;6,9547114
56;Bonner Wall 17;;Südliche Neustadt II;Ohmstr.;Zugweg;24;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9200091;6,9547114
57;Trajanstr. 39;50678;Südliche Neustadt II;Ubierring;Maternusstr.;78;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,92109237;6,96609929
58;Trajanstr. 15;50678;Südliche Neustadt II;Maternusstr.;Mainzer Str.;66;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,92001784;6,965337
59;Ohmstr. 32;;Südliche Neustadt II;Bonner Wall;Rolandstr.;35;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9200091;6,9547114
60;Ohmstr. 16;;Südliche Neustadt II;Bonner Wall;Rolandstr.;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9200091;6,9547114
61;Zugweg 42;;Südliche Neustadt II;Bonner Wall;Haus Nr. 44;10;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9200091;6,9547114
62;Zugweg 29-31;;Südliche Neustadt II;Bonner Wall;Rolandstr.;15;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,918944;6,958191
63;Zugweg 48;;Südliche Neustadt II;Bucht;;18;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,91763;6,95637
64;Rolandstr. 9 Insel;;Südliche Neustadt II;Ohmstr.;Bonner Str.;24;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,937531;6,9602786
65;Rolandstr. 8-10 Insel;50677;Südliche Neustadt II;Zugweg;Ohmstr.;45;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,91865032;6,95783267
66;Merowingerstr. 4;50677;Südliche Neustadt II;Elsaßstr.;Bonner Str.;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9209323;6,9580741
67;Merowingerstr. 22;;Südliche Neustadt II;Elsaßstr.;Vondelstr.;18;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9206267;6,9567364
68;Merowingerstr. 50;;Südliche Neustadt II;Vondelstr.;Rolandstr.;25;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9201606;6,9546511
69;Ubierring 48;;Südliche Neustadt II;Mainzer Str.;Trajanstr.;25;SÜD II + SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9216806;6,9653243
70;Kartäuserwall 10;;Severinsviertel;Haus Nr. 20;Severinstr.;34;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,922173;6,9584537
71;Severinstr. 82;50678;Severinsviertel;Kartäuserhof;Jakobstr.;6;;Mo-Sa 09:00 - 20:00;1,00 €;4;;50,92562607;6,95835229
72;Frankfurter Str. 182 Porz-Wahn;;Porz;ggü. Heidestr.;;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,8567555;7,0867947
73;Severinstr. 99;;Severinsviertel;Jakobstr.;Josephstr.;9;;Mo-Sa 09:00 - 20:00;1,00 €;4;;50,926303;6,9580324
74;Severinstr. 121;;Severinsviertel;Josephstr.;Im Dau;15;;Mo-Sa 09:00 - 20:00;1,00 €;4;;50,92695;6,9577583
75;Severinstr. 165;;Severinsviertel;Im Dau;An St. Katharinen;13;;Mo-Sa 09:00 - 20:00;1,00 €;4;;50,92695;6,9577583
76;Achterstr. 52;;Severinsviertel;Landsbergstr.;Rosenstr.;47;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,92695;6,9577583
77;Achterstr. 29 Platz;;Severinsviertel;Rosenstr.;Achtergäßchen;53;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
78;Im Ferkulum 14;;Severinsviertel;Silvanstr.;Severinswall;9;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
79;Severinswall 4 Platz;;Severinsviertel;Parkplatz;;20;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
80;Alteburger Str. 14;50678;Severinsviertel;Ubierring;Severinswall;52;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9217251;6,9614756
81;Dreikönigenstr. 40;;Severinsviertel;Bayenstr.;Zwirnerstr.;14;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,8716712;6,9574679
82;Ubierring 53;;Severinsviertel;Am Bayenturm;An der Bottmühle;17;SEV + SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,8716712;6,9574679
83;An der Bottmühle 6;;Severinsviertel;Ubierring;Severinswall;35;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,8716712;6,9574679
84;An der Bottmühle 7;;Severinsviertel;Ubierring;Severinswall;33;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,8716712;6,9574679
85;Severinskirchplatz 6;;Severinsviertel;Im Ferkulum;Severinstr.;22;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9231839;6,9594955
86;Kartäusergasse 7;;Severinsviertel;Jakobsstr.;Kartäuserhof;6;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9231839;6,9594955
87;Josephstr. 8 Platz;;Severinsviertel;Platz;;35;SEV;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,9231839;6,9594955
88;Josephstr. 8 Parkpalette unten;50678;Severinsviertel;Platz;;80;SEV;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,92616137;6,95682205
89;Ulrichgasse 2;50678;Severinsviertel;Nebenanlage;;29;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,92462821;6,95319761
90;Annostr. 78;;Severinsviertel;Dreikönigenstr.;Biberstr.;32;SEV;Mo-Sa 09:00 - 23:00;1,00 €;2;;50,92452;6,95338
91;Drususgasse 9-11;50667;City/Martinsviertel;Minoritenstr.;An der Rechtschule;30;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93967;6,9539
92;An der Rechtschule WDR;50667;City/Martinsviertel;Mariengartengasse;Richartzstr.;14;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94014;6,9543
93;An der Rechtschule Museum;50667;City/Martinsviertel;Drususgasse;Richartzstr.;27;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94024;6,95461
94;Danziger Str. ggü. 34;50858;Weiden-Süd;Bunzlauer Str.;Tilsitter Weg;3;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;50,9372713;6,8407465
95;Ostlandstr. 14;50858;Weiden-Süd;Breslauer Str.;Königsberger Str.;8;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;50,93582;6,84212
96;Neven-du-Mont-Str. 5;50667;Nördlich Neumarkt;Kupfergasse;Breite Str.;19;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9397;6,95056
97;Kleiner Griechenmarkt 69;;Griechenmarktviertel;Großer Griechenmarkt;Thieboldsgasse;29;GRI;Mo-Sa 09:00 - 23:00;1,00 €;2;;50,92452;6,95338
98;Siegburger Str. 363;;Porz;;;18;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,92452;6,95338
99;Siegburger Str. 366;;Porz;;;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9115481;6,9910828
100;Rathausstr. 2;;Porz;;;32;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;50,88588;7,05443
101;Karlstr. 16;;Porz;;;20;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;50,88543;7,05678
102;Josefstr. 6;;Porz;;;13;;Mo-Fr 08:00 - 19:00 + Sa 08:00 - 16:00;0,50 €;0;;50,88412;7,05781
103;Kaiserstr. 3;;Porz;;;26;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,8810344;7,0807246
104;Am Trutzenberg 48;;Pantaleonsviertel;Kartäuserwall;Vor den Siebenburgen;29;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9269744;6,9478133
105;Pantaleonswall A;;Pantaleonsviertel;Waisenhausgasse;Am Trutzenberg;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9279864;6,9451271
106;Waisenhausgasse 70;;Pantaleonsviertel;Pantaleonswall;Salierring;15;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9267288;6,9466773
107;Am Trutzenberg 48 LT 5;;Pantaleonsviertel;Sachsenring;Kartäuserwall;16;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
108;Kartäuserwall 40 Schule;;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;28;PAN;Mo-Sa 09:00 - 23:00;0,50 €;9;JA;50,9264946;6,9484461
109;Kartäuserwall 40;50676;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;24;PAN;Mo-Sa 09:00 - 23:00;0,50 €;9;JA;50,92639575;6,94849446
110;Kartäuserwall 41;;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;14;PAN;Mo-Sa 09:00 - 23:00;0,50 €;9;JA;50,9264473;6,9484855
111;Vor den Siebenburgen 6;;Pantaleonsviertel;Ulrichgasse;Schnurgasse;13;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9264473;6,9484855
112;Schnurgasse ggü. 49;;Pantaleonsviertel;Steinstr.;Paulstr.;32;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
113;Heinrichstr. 42;;Pantaleonsviertel;Martinsfeld;Steinstr.;11;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
114;Wilhelm-Hoßdorf-Str. 1;;Pantaleonsviertel;Friedenstr.;Schnurgasse;32;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
115;Ankerstr. 15;;Pantaleonsviertel;Schnurgasse;Ulrichgasse;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
116;Waisenhausgasse 43;50676;Pantaleonsviertel;Martinsfeld;Vor den Siebenburgen;46;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9282845;6,9489335
117;Waisenhausgasse 52;;Pantaleonsviertel;Vor den Siebenburgen;Pantaleonswall;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
118;Waisenhausgasse 65;;Pantaleonsviertel;Vor den Siebenburgen;Pantaleonswall;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
119;Trierer Str. 8;;Pantaleonsviertel;Waisenhausgasse;Am Weidenbach;38;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9278392;6,9462351
120;Am Weidenbach 29;;Pantaleonsviertel;Trierer Str.;Am Pantaleonsberg;16;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9278392;6,9462351
121;Pantaleonstr. 16;;Pantaleonsviertel;Waisenhausgasse;Rothgerberbach;21;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9278392;6,9462351
122;Rothgerberbach 3;;Pantaleonsviertel;Pantaleonstr.;Waisenhausgasse;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9278392;6,9462351
123;Blaubach 11;;Pantaleonsviertel;Perlengraben;Tel-Aviv-Str.;8;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9278392;6,9462351
124;Mengelbergstr. 1;;Pantaleonsviertel;Tel-Aviv-Str.;Perlengraben;15;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9278392;6,9462351
125;Olpener Str. 803 Platz;;Kalk;;;22;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9278392;6,9462351
126;Gudrunstr. 2;;Rodenkirchen;;;28;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9278392;6,9462351
127;Oststr. 15;;Rodenkirchen;Barbarastr.;Parkplatz 21;9;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9354467;6,8411195
128;Liverpooler Platz;50765;Chorweiler;Platzfläche;;165;;"Mo-Mi+Fr 09:00 - 20:00; Do + Sa 15:00 - 20:00";0,50 €;4;;51,02116;6,897974
129;Kerpener Str. 2;;Lindenthal Süd I;Meister-Ekkehard-Str.;Universitätsstr.;8;Lind-S I;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9354467;6,8411195
130;Riehler Str;;Nippes;An der Schanz;Frohngasse;24;;Mo-So 09:00 - 18:00;0,50 €;9;JA;50,9354467;6,8411195
131;Berrenrather Str. 161;;Lindenthal;Arnulfstr.;Konradstr.;18;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,920868;6,9286415
132;Berrenrather Str. 230;;Lindenthal;Gustavstr.;Marsiliusstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9189667;6,9256215
133;Berrenrather Str. 201;;Lindenthal;Nikolausplatz;Wittekindstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9186663;6,9258081
134;Berrenrather Str. 213;50937;Lindenthal;Wittekindstr.;Sülzburgstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,91805603;6,92505624
135;Berrenrather Str. 359;;Lindenthal;Gerolsteiner Str.;Manderscheider Pl.;23;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9155781;6,922541
136;Zülpicher Str. 337;;Lindenthal Süd II;Sülzburgstr.;Gerolsteiner Str.;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9206837;6,9172933
137;Zülpicher Str. 296;;Lindenthal Süd II;Jos.-Stelzmann-Str.;Leichtensternstr.;16;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9220574;6,9208918
138;Zülpicher Str. 257;;Lindenthal Süd I;Ägidiusstr.;Redwitzstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9228581;6,923519
139;Zülpicher Str. 272;;Lindenthal Süd I;Robert-Koch-Str.;Jos.-Stelzmann-Str.;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9229854;6,9234141
140;Zülpicher Str. 239;;Lindenthal Süd I;Weyertal;Ägidiusstr.;18;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9233771;6,9250049
141;Zülpicher Str. 214;;Lindenthal Süd I;Weyertal;Robert-Koch-Str.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9238711;6,9261887
142;Bonner Wall;;Südliche Neustadt II;Wormser Str.;Bonner Str.;;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,9170007;6,9557579
143;Zülpicher Str. 193;;Lindenthal Süd I;Gymnicher Str.;Weyertal;28;Lind-S I;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9244006;6,9282037
144;Zülpicher Str. 180;;Lindenthal Süd I;Universitätsstr.;Gymnicher Str.;11;Lind-S I;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9249381;6,9291388
145;Aachener Str. 445;;Hültzviertel;Fürst-Pückler Str.;Stadtwaldgürtel;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,9368093;6,9047758
146;Aachener Str. 489;;Hültzviertel;Kitschburger Str.;Fürst-Pückler Str.;25;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,9368093;6,9047758
147;Jean-Claude-Letiste-Platz;;Rathenauviertel;Lindenstr.;Händelstr.;19;RATH;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9368093;6,9047758
148;Hansaring 102 Insel;;Eigelsteinviertel;Lübecker Straße;Eigelstein;16;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
149;Hansaring 55 Insel;;Eigelsteinviertel;Am Kümpchenshof;Adolf-Fischer-Straße;47;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,937531;6,9602786
150;Reichensperger Platz 1;;Agnesviertel II;Rondell;;23;;Mo-Sa 09:00 - 18:00;1,00 €;4;;50,937531;6,9602786
151;Stolkgasse 4;50667;Gereonsviertel;Tunisstr.;Postzufahrt;14;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,94420394;6,95378682
152;Riehler Str;;Nippes;An der Schanz;Frohngasse;24;;Mo-So 09:00 - 18:00;0,50 €;9;JA;50,937531;6,9602786
153;Riehler Str;;Nippes;An der Schanz;Frohngasse;24;;Mo-So 09:00 - 18:00;0,50 €;9;JA;50,937531;6,9602786
154;Viktor-Speier-Holstein-Str.;;Mülheim;Genovevastraße;Clevischer Ring;13;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;14;JA;50,937531;6,9602786
155;Genovevastr. 70;;Mülheim;Bergisch Gladbacher Str.;Heidkampstr.;17;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;2;;50,9650241;7,0075819
156;Keupstr. 50;;Mülheim;Schanzenstr.;Holweider Str.;8;;Mo-Sa 09:00 - 23:00;0,50 €;2;;50,96559;7,0093876
157;Keupstr. 49;;Mülheim;Schanzenstr.;Holweider Str.;8;;Mo-Sa 09:00 - 23:00;0,50 €;2;;50,96559;7,0093876
158;Keupstr. 90;51063;Mülheim;Schanzenstr.;Holweider Str.;27;;Mo-Sa 09:00 - 23:00;0,50 €;2;;50,9643889;7,0109729
159;Riehler Str;;Nippes;An der Schanz;Frohngasse;24;;Mo-So 09:00 - 18:00;0,50 €;9;JA;50,9643889;7,0109729
160;Holweider Str. 11;;Mülheim;Schule;;12;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;4;;50,9643889;7,0109729
161;Hohenzollernring 50;50672;Nördlich Neumarkt;Palmstr.;Magnusstr.;12;;Mo-Sa 09:00 - 01:00;1,00 €;4;;50,93952;6,93977
162;Friesenwall 37;50672;Nördlich Neumarkt;Ehrenstr.;Mittelstr.;17;NEU;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9379;6,9406
